fips,n_npos,state_fips,total_pop
01003,2,01,208107
01073,4,01,659892
01097,1,01,414659
01109,1,01,33403
02020,3,02,296112
04005,1,04,140217
04013,28,04,4253913
04019,8,04,1019722
05119,5,05,393463
05131,1,05,127461
06001,54,06,1643700
06013,9,06,1133247
06019,6,06,978130
06037,104,06,10098052
06041,4,06,260295
06047,2,06,269075
06053,3,06,433212
06055,1,06,140530
06059,49,06,3164182
06065,6,06,2383286
06067,22,06,1510023
06071,4,06,2135413
06073,39,06,3302833
06077,1,06,732212
06079,2,06,281455
06081,19,06,765935
06083,4,06,443738
06085,49,06,1922200
06097,5,06,501317
06107,2,06,460477
06111,3,06,848112
06113,1,06,214977
08001,5,08,497115
08005,3,08,636671
08013,3,08,321030
08045,1,08,58538
08059,2,08,570427
08067,1,08,55101
08069,2,08,338161
08107,1,08,24874
08117,1,08,30429
12005,1,12,182482
12009,1,12,576808
12011,13,12,1909151
12069,1,12,335362
12071,1,12,718679
12086,42,12,2715516
12095,12,12,1321194
12097,1,12,338619
12099,8,12,1446277
12101,1,12,510593
12103,4,12,957875
12105,2,12,668671
12111,1,12,305591
12115,1,12,412144
12117,3,12,455086
12127,2,12,527634
13057,1,13,241910
13067,2,13,745057
13089,20,13,743187
13121,12,13,1021902
13135,13,13,902298
15001,3,15,197658
15009,1,15,165281
17019,2,17,209448
17029,1,17,51736
17031,80,17,5223719
17043,15,17,931743
17073,1,17,49464
17089,1,17,530839
17091,1,17,111061
17093,2,17,124626
17097,2,17,703619
17113,2,17,173219
17197,2,17,688697
18089,1,18,486849
18097,13,18,944523
19103,1,19,147001
19153,5,19,474274
19169,1,19,96922
20091,3,20,585502
20173,4,20,512064
20177,2,20,178284
21227,2,21,126427
22051,3,22,435300
23001,4,23,107444
23005,12,23,290944
24025,1,24,251025
24027,8,24,315327
24031,18,24,1040133
24033,4,24,906202
25005,2,25,558905
25009,2,25,781024
25015,2,25,161159
25017,23,25,1595192
25021,6,25,698249
25025,14,25,791766
25027,5,25,822280
26021,1,26,154807
26081,6,26,643140
26099,3,26,868704
26125,18,26,1250843
26139,2,26,284034
26161,2,26,365961
26163,15,26,1761382
27019,3,27,100416
27027,3,27,62801
27037,5,27,418201
27053,30,27,1235478
27109,2,27,153065
27123,32,27,541493
27139,1,27,143372
27147,1,27,36676
29095,7,29,692003
29189,11,29,998684
30111,1,30,157816
32003,8,32,2141574
33011,3,33,411087
33013,1,33,149452
33015,1,33,305129
34001,1,34,268539
34003,17,34,929999
34007,2,34,507367
34015,1,34,290852
34021,6,34,368762
34023,10,34,826698
34025,3,34,623387
34027,3,34,494383
34035,5,34,330176
34039,3,34,553066
35001,9,35,677692
35013,3,35,215338
35045,1,35,127455
36027,1,36,293894
36029,8,36,919866
36059,11,36,1356564
36063,1,36,211704
36075,1,36,119104
36103,10,36,1487901
36111,2,36,179303
36119,14,36,968815
37049,1,37,103082
37051,2,37,332106
37063,4,37,306457
37067,1,37,371573
37081,3,37,523582
37083,1,37,51737
37119,14,37,1054314
37183,15,37,1046558
38017,1,38,174202
39005,1,39,53477
39017,1,39,378294
39035,8,39,1253783
39041,1,39,197008
39049,9,39,1275333
39061,7,39,812037
39095,2,39,432379
39103,1,39,177257
39113,3,39,532034
39151,1,39,373475
39153,2,39,541810
40027,1,40,276733
40109,3,40,782051
40143,2,40,642781
41005,2,41,405788
41029,1,41,214267
41045,2,41,30431
41047,3,41,335553
41059,1,41,76898
41067,8,41,581821
41071,1,41,103820
42003,12,42,1225561
42011,1,42,416642
42017,1,42,626370
42019,1,42,186566
42029,5,42,517156
42041,1,42,247433
42045,5,42,563527
42071,4,42,538347
42091,9,42,821301
42095,1,42,301778
42129,1,42,354751
42133,3,42,444014
45057,1,45,89546
45063,1,45,286316
46099,2,46,186749
47037,8,47,684017
47141,1,47,76440
47149,1,47,307128
47157,7,47,937005
47165,1,47,179473
48029,9,48,1925865
48039,2,48,353999
48085,10,48,944350
48113,26,48,2586552
48121,4,48,807047
48201,42,48,4602523
48209,1,48,204150
48215,2,48,849389
48245,1,48,255210
48341,1,48,21801
48427,1,48,63894
48439,6,48,2019977
48453,12,48,1203166
49011,1,49,340621
49035,10,49,1120805
50007,1,50,162052
51107,1,51,385143
51153,2,51,456749
51510,5,51,156505
51540,2,51,47042
51760,2,51,223787
53033,76,53,2163257
53053,6,53,859840
53061,6,53,786620
53077,1,53,249325
54039,1,54,185710
55025,7,55,529843
55043,1,55,51828
55047,1,55,18757
55073,1,55,135264
55079,9,55,954209
55117,1,55,115205
55133,2,55,398879
